1955,"Walter M. Miller, Jr.*",The Darfsteller,Astounding Science-Fiction
1956,Murray Leinster*,Exploration Team,Astounding Science-Fiction
1956,L. Sprague de Camp,A Gun for Dinosaur,Galaxy Science Fiction
1956,Alan Nourse,Brightside Crossing,Galaxy Science Fiction
1956,Henry Kuttner & C. L. Moore,Home There's No Returning,No Boundaries (Ballantine Books)
1956,Eric Frank Russell,Legwork,Astounding Science-Fiction
1956,F. L. Wallace,The Assistant Self,Fantastic Universe
1956,Algis Budrys,The End of Summer,Astounding Science-Fiction
1956,Theodore Sturgeon,Who?,Galaxy Science Fiction
1958,Fritz Leiber*,The Big Time,Galaxy Science Fiction
1959,Clifford D. Simak*,The Big Front Yard,Astounding Science-Fiction
1959,Pauline Ashwell,Unwillingly to School,Astounding Science-Fiction
1959,Zenna Henderson,Captivity,The Magazine of Fantasy & Science Fiction
1959,C.M. Kornbluth,Reap the Dark Tide (aka: Shark Ship),Vanguard
1959,Fritz Leiber,A Deskful of Girls,The Magazine of Fantasy & Science Fiction
1959,Katherine MacLean,Second Game,Astounding Science-Fiction
1959,Rog Phillips,Rat in the Skull,If
1959,Jack Vance,The Miracle-Workers,Astounding Science-Fiction
1967,Jack Vance*,The Last Castle,Galaxy Science Fiction
1967,Gordon R. Dickson,Call Him Lord,Analog Science Fact & Fiction
1967,"Robert M., Green, Jr.",Apology to Inky,The Magazine of Fantasy & Science Fiction
1967,Charles L. Harness,The Alchemist,Analog Science Fact & Fiction
1967,Charles L. Harness,An Ornament to His Profession,Analog Science Fact & Fiction
1967,Hayden Howard,The Eskimo Invasion,Galaxy Science Fiction
1967,Thomas Burnett Swann,The Manor of Roses,The Magazine of Fantasy & Science Fiction
1967,Roger Zelazny,For a Breath I Tarry,Fantastic
1967,Roger Zelazny,This Moment of the Storm,The Magazine of Fantasy & Science Fiction
1968,Fritz Leiber*,Gonna Roll the Bones,Dangerous Visions (Doubleday)
1968,Andre Norton,Wizard's World,If
1968,Philip K. Dick,Faith of Our Fathers,Dangerous Visions (Doubleday)
1968,Harlan Ellison,Pretty Maggie Moneyeyes,Knight
1969,Poul Anderson*,The Sharing of Flesh,Galaxy Science Fiction
1969,Brian Aldiss,Total Environment,Galaxy Science Fiction
1969,Piers Anthony,Getting Through University,If
1969,Richard Wilson,Mother to the World,Orbit #3 (G. P. Putnam's Sons)
1973,Poul Anderson*,Goat Song,The Magazine of Fantasy & Science Fiction
1973,William Rotsler,Patron of the Arts,Universe #2 (Bantam Spectra)
1973,Harlan Ellison,Basilisk,The Magazine of Fantasy & Science Fiction
1973,Gardner Dozois,A Kingdom by the Sea,Orbit #10 (G. P. Putnam's Sons)
1973,"James Tiptree, Jr.",Painwise,The Magazine of Fantasy & Science Fiction
1974,Harlan Ellison*,The Deathbird,The Magazine of Fantasy & Science Fiction
1974,Vonda N. McIntyre,"Of Mist, and Grass, and Sand",Analog Science Fact & Fiction
1974,"James Tiptree, Jr.",Love Is the Plan the Plan Is Death,The Alien Condition (Ballantine Books)
1974,George Alec Effinger,The City on the Sand,The Magazine of Fantasy & Science Fiction
1974,Jerry Pournelle,He Fell into a Dark Hole,Analog Science Fact & Fiction
1975,Harlan Ellison*,"Adrift Just Off the Islets of Langerhans: Latitude 38° 54' N, Longitude 77° 00' 13 W",The Magazine of Fantasy & Science Fiction
1975,Isaac Asimov,—That Thou art Mindful of Him,The Magazine of Fantasy & Science Fiction
1975,Fritz Leiber,Midnight by the Morphy Watch,If
1975,Richard A. Lupoff,After the Dreamtime,New Dimensions #4 (Doubleday)
1975,Jerry Pournelle,Extreme Prejudice,Analog Science Fact & Fiction
1975,William Walling,Nix Olympica,Analog Science Fact & Fiction
1975,Kate Wilhelm,"A Brother to Dragons, a Companion of Owls",Orbit #14 (G. P. Putnam's Sons)
1976,Larry Niven*,The Borderland of Sol,Analog Science Fact & Fiction
1976,Ursula K. Le Guin,The New Atlantis,The New Atlantis (Warner Books)
1976,George R. R. Martin,And Seven Times Never Kill Man,Analog Science Fact & Fiction
1976,Tom Reamy,San Diego Lightfoot Sue,The Magazine of Fantasy & Science Fiction
1976,Jerry Pournelle,Tinker,Galaxy Science Fiction
1977,Isaac Asimov*,The Bicentennial Man,Stellar #2 (Ballantine Books)
1977,Ursula K. Le Guin,The Diary of the Rose,Future Power (Random House)
1977,John Varley,"Gotta Sing, Gotta Dance",Galaxy Science Fiction
1977,John Varley,The Phantom of Kansas,Galaxy Science Fiction
1978,Joan D. Vinge*,Eyes of Amber,Analog Science Fact & Fiction
1978,Orson Scott Card,Ender's Game,Analog Science Fact & Fiction
1978,"James Tiptree, Jr.",The Screwfly Solution,Analog Science Fact & Fiction
1978,Samuel R. Delany,Prismatica,The Magazine of Fantasy & Science Fiction
1978,Carter Scholz,The Ninth Symphony of Ludwig van Beethoven and Other Lost Songs,Universe #7 (Bantam Spectra)
1979,Poul Anderson*,Hunter's Moon,Analog Science Fact & Fiction
1979,Orson Scott Card,Mikal's Songbird,Analog Science Fact & Fiction
1979,Thomas Disch,The Man Who Had No Idea,The Magazine of Fantasy & Science Fiction
1979,Dean Ing,Devil You Don't Know,Analog Science Fact & Fiction
1979,John Varley,The Barbie Murders,Asimov's Science Fiction
1980,George R. R. Martin*,Sandkings,Omni
1980,Barry B. Longyear,Homecoming,Asimov's Science Fiction
1980,Larry Niven,The Locusts,Analog Science Fact & Fiction
1980,Vonda N. McIntyre,Fireflood,The Magazine of Fantasy & Science Fiction
1980,John Varley,Options,Universe #9 (Bantam Spectra)
1980,Christopher Priest,Palely Loitering,The Magazine of Fantasy & Science Fiction
1981,Gordon R. Dickson*,The Cloak and the Staff,Analog Science Fact & Fiction
1981,Barry B. Longyear,Savage Planet,Analog Science Fact & Fiction
1981,John Varley,Beatnik Bayou,New Voices #3: The Campbell Award Nominees (Berkley Books)
1981,Keith Roberts,The Lordly Ones,The Magazine of Fantasy & Science Fiction
1981,Michael Shea,The Autopsy,The Magazine of Fantasy & Science Fiction
1981,Howard Waldrop,The Ugly Chickens,Universe #10 (Bantam Spectra)
1982,Roger Zelazny*,Unicorn Variation,Asimov's Science Fiction
1982,George R. R. Martin,Guardians,Analog Science Fact & Fiction
1982,Edward Bryant,The Thermals of August,The Magazine of Fantasy & Science Fiction
1982,Parke Godwin,The Fire When It Comes,The Magazine of Fantasy & Science Fiction
1982,Michael Bishop,The Quickening,Universe #11 (Bantam Spectra)
1983,Connie Willis*,Fire Watch,Asimov's Science Fiction
1983,Phyllis Eisenstein,Nightlife,The Magazine of Fantasy & Science Fiction
1983,Timothy Zahn,Pawn's Gambit,Analog Science Fact & Fiction
1983,S. P. Somtow,Aquila,Asimov's Science Fiction
1983,Bruce Sterling,Swarm,The Magazine of Fantasy & Science Fiction
1984,Greg Bear*,Blood Music,Analog Science Fact & Fiction
1984,George R. R. Martin,The Monkey Treatment,The Magazine of Fantasy & Science Fiction
1984,Connie Willis,The Sidon in the Mirror,Asimov's Science Fiction
1984,Ian Watson,Slow Birds,The Magazine of Fantasy & Science Fiction
1984,Kim Stanley Robinson,Black Air,The Magazine of Fantasy & Science Fiction
1985,Octavia E. Butler*,Bloodchild,Asimov's Science Fiction
1985,Lucius Shepard,The Man Who Painted the Dragon Griaule,The Magazine of Fantasy & Science Fiction
1985,Timothy Zahn,Return to the Fold,Analog Science Fact & Fiction
1985,Connie Willis,Blued Moon,Asimov's Science Fiction
1985,Hilbert Schenck,Silicon Muse,Analog Science Fact & Fiction
1985,Eric Vinicoff,The Weigher,Analog Science Fact & Fiction
1985,Kim Stanley Robinson,The Lucky Strike
1986,Harlan Ellison*,Paladin of the Lost Hour,Universe #15 (Bantam Spectra)
1986,George R. R. Martin,Portraits of His Children,Asimov's Science Fiction
1986,Orson Scott Card,The Fringe,The Magazine of Fantasy & Science Fiction
