1968,Philip José Farmer*,Riders of the Purple Wage,Dangerous Visions (Doubleday)
1968,Anne McCaffrey*,Weyr Search,Analog Science Fact & Fiction
1968,Roger Zelazny,Damnation Alley,Galaxy Science Fiction
1968,Samuel R. Delany,The Star Pit,Worlds of Tomorrow
1968,Robert Silverberg,Hawksbill Station,Galaxy Science Fiction
1969,Robert Silverberg*,Nightwings,Galaxy Science Fiction
1969,Anne McCaffrey,Dragonrider,Analog Science Fact & Fiction
1969,Samuel R. Delany,Lines of Power,The Magazine of Fantasy & Science Fiction
1969,Dean McLaughlin,Hawk Among the Sparrows,Analog Science Fact & Fiction
1970,Fritz Leiber*,Ship of Shadows,The Magazine of Fantasy & Science Fiction
1970,Harlan Ellison,A Boy and His Dog,The Beast that Shouted Love at the Heart of the World (Avon Publications)
1970,James Blish,We All Die Naked,Three for Tomorrow (Meredith Press)
1970,Anne McCaffrey,Dramatic Mission,Analog Science Fact & Fiction
1970,Robert Silverberg,To Jorslem,Galaxy Science Fiction
1971,Fritz Leiber*,Ill Met in Lankhmar,The Magazine of Fantasy & Science Fiction
1971,Clifford D. Simak,The Thing in the Stone,If
1971,Harlan Ellison,The Region Between,Galaxy Science Fiction
1971,Robert Silverberg,The World Outside,Galaxy Science Fiction
1971,Dean Koontz,Beastchild,Venture Science Fiction Magazine
1972,Poul Anderson*,The Queen of Air and Darkness,The Magazine of Fantasy & Science Fiction
1972,Arthur C. Clarke,A Meeting with Medusa,Playboy
1972,Larry Niven,The Fourth Profession,Quark/4 (Paperback Library)
1972,John Brunner,Dread Empire,Fantastic
1972,Gardner Dozois,A Special Kind of Morning,New Dimensions 1 (Doubleday)
1973,Ursula K. Le Guin*,The Word for World Is Forest,"Again, Dangerous Visions (Doubleday)"
1973,Frederik Pohl,The Gold at the Starbow's End,Analog Science Fact & Fiction
1973,Gene Wolfe,The Fifth Head of Cerberus,Orbit #10 (Putnam Publishing Group)
1973,Joe Haldeman,Hero,Analog Science Fact & Fiction
1973,Jerry Pournelle,The Mercenary,Analog Science Fact & Fiction
1974,"James Tiptree, Jr.*",The Girl Who Was Plugged In,New Dimensions 3 (Doubleday)
1974,Gene Wolfe,The Death of Doctor Island,Universe 3 (Bantam Spectra)
1974,Michael Bishop,Death and Designation Among the Asadi,If
1974,Michael Bishop,The White Otters of Childhood,The Magazine of Fantasy & Science Fiction
