1955,Eric Frank Russell*,Allamagoosa,Astounding Science-Fiction
1956,Arthur C. Clarke*,The Star,Infinity Science Fiction
1956,F. L. Wallace,End as a World,Galaxy Science Fiction
1956,James Blish,King of the Hill,Infinity Science Fiction
1956,Algis Budrys,Nobody Bothers Gus,Astounding Science-Fiction
1956,Cordwainer Smith,The Game of Rat and Dragon,Galaxy Science Fiction
1956,Ray Bradbury,The Dragon,Esquire
1956,Robert Sheckley,Spy Story,Playboy
1956,Theodore Sturgeon,Twink,Galaxy Science Fiction
1958,Avram Davidson*,Or All the Seas with Oysters,Galaxy Science Fiction
1959,Robert Bloch*,That Hell-Bound Train,The Magazine of Fantasy & Science Fiction
1959,Anton Lee Baker,They've Been Working On...,Astounding Science-Fiction
1959,Alfred Bester,The Men Who Murdered Mohammed,The Magazine of Fantasy & Science Fiction
1959,J. F. Bone,Triggerman,Astounding Science-Fiction
1959,Algis Budrys,The Edge of the Sea,Venture Science Fiction
1959,C. M. Kornbluth,The Advent on Channel Twelve,Star Science Fiction Stories #4 (Ballantine Books)
1959,C. M. Kornbluth,Theory of Rocketry,The Magazine of Fantasy & Science Fiction
1959,Fritz Leiber,Rump-Titty-Titty-Tum-Tah-Tee,The Magazine of Fantasy & Science Fiction
1959,Stanley Mullen,Space to Swing a Cat,Astounding Science-Fiction
1959,Manly Wade Wellman,Nine Yards of Other Cloth,The Magazine of Fantasy & Science Fiction
1960,Daniel Keyes*,Flowers for Algernon,The Magazine of Fantasy & Science Fiction
1960,Philip José Farmer,The Alley Man,The Magazine of Fantasy & Science Fiction
1960,Alfred Bester,The Pi Man,The Magazine of Fantasy & Science Fiction
1960,Theodore Sturgeon,The Man Who Lost the Sea,The Magazine of Fantasy & Science Fiction
1960,Ralph Williams,Cat and Mouse,Astounding Science-Fiction
1961,Poul Anderson*,The Longest Voyage,Analog Science Fact & Fiction
1961,Pauline Ashwell,The Lost Kafoozalum,Analog Science Fact & Fiction
1961,Philip José Farmer,"Open to Me, My Sister (aka. My Sister's Brother)",The Magazine of Fantasy & Science Fiction
1961,Theodore Sturgeon,Need,Beyond Fantasy Fiction
1962,Brian Aldiss*,Hothouse (series),The Magazine of Fantasy & Science Fiction
1962,"Lloyd Biggle, Jr.",Monument,Analog Science Fact & Fiction
1962,Fritz Leiber,Scylla's Daughter,Fantastic
1962,Mack Reynolds,Status Quo,Analog Science Fact & Fiction
1962,James H. Schmitz,Lion Loose,Analog Science Fact & Fiction
1963,Jack Vance*,The Dragon Masters,Galaxy Science Fiction
1963,Gary Jennings,Myrrha,The Magazine of Fantasy & Science Fiction
1963,Fritz Leiber,The Unholy Grail,Fantastic
1963,Theodore Sturgeon,"When You Care, When You Love",The Magazine of Fantasy & Science Fiction
1963,Thomas Burnett Swann,Where Is the Bird of Fire?,Science Fantasy
1964,Poul Anderson*,No Truce with Kings,The Magazine of Fantasy & Science Fiction
1964,Rick Raphael,Code Three,Analog Science Fact & Fiction
1964,Roger Zelazny,A Rose for Ecclesiastes,The Magazine of Fantasy & Science Fiction
1964,Edgar Rice Burroughs,Savage Pellucidar,Amazing Stories
